"Index","Date","Promotion","Match","CageMatchRating","CageMatchRatingVotes","WONStarRating","Opponent.1","Opponent.2"
8102,2025-12-29,"WWE","Nikki Bella vs. Raquel Rodriguez vs. Stephanie Vaquer",6.49,117,NA,"Nikki Bella","Raquel Rodriguez, Stephanie Vaquer,"
8101,2025-12-29,"WWE","Austin Theory vs. Rey Mysterio",4.85,92,NA,"Austin Theory","Rey Mysterio"
8100,2025-12-29,"WWE","Bravo Americano vs. Joaquin Wilde",6.07,13,NA,"Bravo Americano","Joaquin Wilde"
8099,2025-12-29,"WWE","AJ Styles & Dragon Lee   vs. Jey Uso & Jimmy Uso",7.63,152,4.5,"AJ Styles & Dragon Lee","Jey Uso & Jimmy Uso"
8098,2025-12-19,"WWE","Bayley vs. Roxanne Perez",5.99,98,NA,"Bayley","Roxanne Perez"
8097,2025-12-19,"WWE","Je'Von Evans vs. Rayo Americano",6.4,99,NA,"Je'Von Evans","Rayo Americano"
8096,2025-12-19,"WWE","Charlotte Flair vs. Lash Legend",5.32,94,NA,"Charlotte Flair","Lash Legend"
8095,2025-12-19,"WWE","Joe Hendry vs. The Miz",5.37,99,NA,"Joe Hendry","The Miz"
8094,2025-12-19,"WWE","Asuka vs. Rhea Ripley",7.17,120,3.75,"Asuka","Rhea Ripley"
8093,2025-12-19,"WWE","Austin Theory & Bronson Reed vs. CM Punk & Rey Mysterio",6.55,106,3.75,"Austin Theory & Bronson Reed","CM Punk & Rey Mysterio"
8092,2025-12-19,"WWE","Carmelo Hayes vs. Ilja Dragunov",8.85,254,4.5,"Carmelo Hayes","Ilja Dragunov"
8091,2025-12-17,"WWE","Chelsea Green vs. Sol Ruca",6.16,62,NA,"Chelsea Green","Sol Ruca"
8090,2025-12-17,"WWE","Jacy Jayne vs. Wren Sinclair",5.84,43,NA,"Jacy Jayne","Wren Sinclair"
8089,2025-12-17,"WWE","Ethan Page vs. Moose",6.39,43,NA,"Ethan Page","Moose"
8088,2025-12-17,"WWE","Je'Von Evans vs. Ricky Saints",6.83,51,NA,"Je'Von Evans","Ricky Saints"
8087,2025-12-17,"WWE","Arianna Grace & Channing Lorenzo vs. Shiloh Hill & Skylar Raye",7.03,69,NA,"Arianna Grace & Channing Lorenzo","Shiloh Hill & Skylar Raye"
8086,2025-12-17,"WWE","Izzi Dame vs. Lola Vice",5.9,57,NA,"Izzi Dame","Lola Vice"
8085,2025-12-16,"WWE","Blake Monroe vs. Thea Hail",3.35,78,NA,"Blake Monroe","Thea Hail"
8084,2025-12-16,"WWE","Bronco Nima & Lucien Price vs. Hank Walker & Tank Ledger",6.08,49,NA,"Bronco Nima & Lucien Price","Hank Walker & Tank Ledger"
8083,2025-12-16,"WWE","Dion Lennox vs. Joe Hendry vs. Leon Slater vs. Myles Borne",7.41,68,4,"Dion Lennox","Joe Hendry, Leon Slater, Myles Borne,"
8082,2025-12-16,"WWE","Fallon Henley & Lainey Reid vs. Kendal Grey & Wren Sinclair",6.78,62,3.5,"Fallon Henley & Lainey Reid","Kendal Grey & Wren Sinclair"
8081,2025-12-15,"WWE","Jey Uso & Jimmy Uso vs. Kofi Kingston & Xavier Woods",5.87,108,NA,"Jey Uso & Jimmy Uso","Kofi Kingston & Xavier Woods"
8080,2025-12-15,"WWE","Ivy Nile vs. Maxxine Dupri",5.5,108,NA,"Ivy Nile","Maxxine Dupri"
8079,2025-12-15,"WWE","Logan Paul vs. Rey Mysterio",4.77,91,NA,"Logan Paul","Rey Mysterio"
8078,2025-12-15,"WWE","Raquel Rodriguez vs. Stephanie Vaquer",4.48,101,NA,"Raquel Rodriguez","Stephanie Vaquer"
8077,2025-12-15,"WWE","Asuka & Kairi Sane vs. Lash Legend & Nia Jax",5.18,75,NA,"Asuka & Kairi Sane","Lash Legend & Nia Jax"
8076,2025-12-15,"WWE","Dexter Lumis & Joe Gacy vs. JC Mateo & Tonga Loa",4.63,81,NA,"Dexter Lumis & Joe Gacy","JC Mateo & Tonga Loa"
8075,2025-12-15,"WWE","Carmelo Hayes & Ilja Dragunov vs. Johnny Gargano & Tommaso Ciampa",6.81,92,NA,"Carmelo Hayes & Ilja Dragunov","Johnny Gargano & Tommaso Ciampa"
8074,2025-12-13,"WWE","Bayley vs. Sol Ruca",6.78,389,3.75,"Bayley","Sol Ruca"
8073,2025-12-13,"WWE","Gunther vs. John Cena",8.2,682,4.5,"Gunther","John Cena"
8072,2025-12-13,"WWE","AJ Styles & Dragon Lee   vs. Je'Von Evans & Leon Slater",7.08,415,3.5,"AJ Styles & Dragon Lee","Je'Von Evans & Leon Slater"
8071,2025-12-13,"WWE","Cody Rhodes vs. Oba Femi",5.52,411,3.25,"Cody Rhodes","Oba Femi"
8070,2025-12-12,"WWE","Je'Von Evans vs. The Miz",6.19,93,NA,"Je'Von Evans","The Miz"
8069,2025-12-12,"WWE","Aleister Black & Zelina vs. Damian Priest & Rhea Ripley",3.47,102,NA,"Aleister Black & Zelina","Damian Priest & Rhea Ripley"
8068,2025-12-12,"WWE","Alex Shelley vs. Angel",4.87,14,NA,"Alex Shelley","Angel"
8067,2025-12-12,"WWE","Ilja Dragunov vs. Tommaso Ciampa",8.62,248,4.5,"Ilja Dragunov","Tommaso Ciampa"
8066,2025-12-09,"WWE","Jordynne Grace vs. Kelani Jordan",7.38,87,3.5,"Jordynne Grace","Kelani Jordan"
8065,2025-12-09,"WWE","Je'Von Evans vs. Oba Femi",8.34,157,4.5,"Je'Von Evans","Oba Femi"
8064,2025-12-08,"WWE","Lyra Valkyria vs. Roxanne Perez",6.47,98,NA,"Lyra Valkyria","Roxanne Perez"
8063,2025-12-08,"WWE","LA Knight vs. Logan Paul",5.33,88,NA,"LA Knight","Logan Paul"
8062,2025-12-08,"WWE","AJ Styles & Dragon Lee   vs. Erik & Ivar",6.45,108,NA,"AJ Styles & Dragon Lee","Erik & Ivar"
8061,2025-12-08,"WWE","Akira Tozawa vs. Rayo Americano",5.33,8,NA,"Akira Tozawa","Rayo Americano"
8060,2025-12-08,"WWE","IYO SKY vs. Kairi Sane",7.16,134,3.75,"IYO SKY","Kairi Sane"
8059,2025-12-06,"WWE","Dion Lennox vs. Je'Von Evans vs. Joe Hendry vs. Leon Slater vs. Myles Borne",8.2,247,4.25,"Dion Lennox","Je'Von Evans, Joe Hendry, Leon Slater,Myles Borne,"
8058,2025-12-06,"WWE","Ethan Page vs. Mr. Iguana",6.16,191,3,"Ethan Page","Mr. Iguana"
8057,2025-12-06,"WWE","Jordynne Grace vs. Kelani Jordan vs. Kendal Grey vs. Lola Vice vs. Sol Ruca",8.81,292,4.5,"Jordynne Grace","Kelani Jordan, Kendal Grey, Lola Vice,Sol Ruca,"
8056,2025-12-06,"WWE","Izzi Dame vs. Tatum Paxley",5.51,193,2.5,"Izzi Dame","Tatum Paxley"
8055,2025-12-06,"WWE","Oba Femi vs. Ricky Saints",7.46,233,4,"Oba Femi","Ricky Saints"
8054,2025-12-05,"WWE","Alexa Bliss vs. Kairi Sane",5.09,95,NA,"Alexa Bliss","Kairi Sane"
8053,2025-12-05,"WWE","Kit Wilson vs. Shinsuke Nakamura",5.27,10,NA,"Kit Wilson","Shinsuke Nakamura"
8052,2025-12-05,"WWE","Carmelo Hayes vs. Ilja Dragunov",7.21,155,3.5,"Carmelo Hayes","Ilja Dragunov"
8051,2025-12-05,"WWE","Gunther vs. LA Knight",8.12,212,4.25,"Gunther","LA Knight"
8050,2025-12-02,"WWE","Josh Briggs vs. Tavion Heights",5.6,52,NA,"Josh Briggs","Tavion Heights"
8049,2025-12-02,"WWE","Fallon Henley, Jacy Jayne & Lainey Reid vs. Kendal Grey, Lola Vice & Sol Ruca",7.25,75,3.5,"Fallon Henley, Jacy Jayne & Lainey Reid","Kendal Grey, Lola Vice & Sol Ruca"
8048,2025-12-02,"WWE","Cutler James, Dion Lennox, Osiris Griffin & Saquon Shugars vs. Je'Von Evans, Joe Hendry, Leon Slater & Myles Borne",6.67,56,3.5,"Cutler James, Dion Lennox, Osiris Griffin & Saquon Shugars","Je'Von Evans, Joe Hendry, Leon Slater & Myles Borne"
8047,2025-12-01,"WWE","Alexa Bliss & Charlotte Flair vs. IYO SKY & Rhea Ripley",7.41,159,3.5,"Alexa Bliss & Charlotte Flair","IYO SKY & Rhea Ripley"
8046,2025-12-01,"WWE","Otis vs. Rusev",NA,NA,NA,"Otis","Rusev"
8045,2025-12-01,"WWE","Jey Uso vs. LA Knight",6.25,141,3.5,"Jey Uso","LA Knight"
8044,2025-12-01,"WWE","AJ Styles & Dragon Lee   vs. Kofi Kingston & Xavier Woods",7.12,160,3.75,"AJ Styles & Dragon Lee","Kofi Kingston & Xavier Woods"
8043,2025-12-01,"WWE","Gunther vs. Solo Sikoa",8.13,273,4.25,"Gunther","Solo Sikoa"
8042,2025-11-29,"WWE","Dominik Mysterio vs. John Cena",5.69,396,3.25,"Dominik Mysterio","John Cena"
8041,2025-11-29,"WWE","Brock Lesnar, Bron Breakker, Bronson Reed, Drew McIntyre & Logan Paul vs. CM Punk, Cody Rhodes, Jey Uso, Jimmy Uso & Roman Reigns",5.5,390,4.25,"Brock Lesnar, Bron Breakker, Bronson Reed, Drew McIntyre & Logan Paul","CM Punk, Cody Rhodes, Jey Uso, Jimmy Uso & Roman Reigns"
8040,2025-11-29,"WWE","Nikki Bella vs. Stephanie Vaquer",4.36,338,1.25,"Nikki Bella","Stephanie Vaquer"
