"MatchIndex","SuperstarName"
8102,"Nikki Bella"
8102,"Raquel Rodriguez"
8102,"Stephanie Vaquer"
8101,"Austin Theory"
8101,"Rey Mysterio"
8100,"Bravo Americano"
8100,"Joaquin Wilde"
8099,"AJ Styles"
8099,"Dragon Lee"
8099,"Jey Uso"
8099,"Jimmy Uso"
8098,"Bayley"
8098,"Roxanne Perez"
8097,"Je'Von Evans"
8097,"Rayo Americano"
8096,"Charlotte Flair"
8096,"Lash Legend"
8095,"Joe Hendry"
8095,"The Miz"
8094,"Asuka"
8094,"Rhea Ripley"
8093,"Austin Theory"
8093,"Bronson Reed"
8093,"CM Punk"
8093,"Rey Mysterio"
8092,"Carmelo Hayes"
8092,"Ilja Dragunov"
8091,"Chelsea Green"
8091,"Sol Ruca"
8090,"Jacy Jayne"
8090,"Wren Sinclair"
8089,"Ethan Page"
8089,"Moose"
8088,"Je'Von Evans"
8088,"Ricky Saints"
8087,"Arianna Grace"
8087,"Channing Lorenzo"
8087,"Shiloh Hill"
8087,"Skylar Raye"
8086,"Izzi Dame"
8086,"Lola Vice"
8085,"Blake Monroe"
8085,"Thea Hail"
8084,"Bronco Nima"
8084,"Lucien Price"
8084,"Hank Walker"
8084,"Tank Ledger"
8083,"Dion Lennox"
8083,"Joe Hendry"
8083,"Leon Slater"
8083,"Myles Borne"
8082,"Fallon Henley"
8082,"Lainey Reid"
8082,"Kendal Grey"
8082,"Wren Sinclair"
8081,"Jey Uso"
8081,"Jimmy Uso"
8081,"Kofi Kingston"
8081,"Xavier Woods"
8080,"Ivy Nile"
8080,"Maxxine Dupri"
8079,"Logan Paul"
8079,"Rey Mysterio"
8078,"Raquel Rodriguez"
8078,"Stephanie Vaquer"
8077,"Asuka"
8077,"Kairi Sane"
8077,"Lash Legend"
8077,"Nia Jax"
8076,"Dexter Lumis"
8076,"Joe Gacy"
8076,"JC Mateo"
8076,"Tonga Loa"
8075,"Carmelo Hayes"
8075,"Ilja Dragunov"
8075,"Johnny Gargano"
8075,"Tommaso Ciampa"
8074,"Bayley"
8074,"Sol Ruca"
8073,"Gunther"
8073,"John Cena"
8072,"AJ Styles"
8072,"Dragon Lee"
8072,"Je'Von Evans"
