"MatchIndex","Team"
8099,"AJ Styles & Dragon Lee"
8099,"Jey Uso & Jimmy Uso"
8093,"Austin Theory & Bronson Reed"
8093,"CM Punk & Rey Mysterio"
8087,"Arianna Grace & Channing Lorenzo"
8087,"Shiloh Hill & Skylar Raye"
8084,"Bronco Nima & Lucien Price"
8084,"Hank Walker & Tank Ledger"
8082,"Fallon Henley & Lainey Reid"
8082,"Kendal Grey & Wren Sinclair"
8081,"Jey Uso & Jimmy Uso"
8081,"Kofi Kingston & Xavier Woods"
8077,"Asuka & Kairi Sane"
8077,"Lash Legend & Nia Jax"
8076,"Dexter Lumis & Joe Gacy"
8076,"JC Mateo & Tonga Loa"
8075,"Carmelo Hayes & Ilja Dragunov"
8075,"Johnny Gargano & Tommaso Ciampa"
8072,"AJ Styles & Dragon Lee"
8072,"Je'Von Evans & Leon Slater"
8069,"Aleister Black & Zelina"
8069,"Damian Priest & Rhea Ripley"
8062,"AJ Styles & Dragon Lee"
8062,"Erik & Ivar"
8049,"Fallon Henley, Jacy Jayne & Lainey Reid"
8049,"Kendal Grey, Lola Vice & Sol Ruca"
8048,"Cutler James, Dion Lennox, Osiris Griffin & Saquon Shugars"
8048,"Je'Von Evans, Joe Hendry, Leon Slater & Myles Borne"
8047,"Alexa Bliss & Charlotte Flair"
8047,"IYO SKY & Rhea Ripley"
8044,"AJ Styles & Dragon Lee"
8044,"Kofi Kingston & Xavier Woods"
8041,"Brock Lesnar, Bron Breakker, Bronson Reed, Drew McIntyre & Logan Paul"
8041,"CM Punk, Cody Rhodes, Jey Uso, Jimmy Uso & Roman Reigns"
8039,"AJ Lee, Alexa Bliss, Charlotte Flair, IYO SKY & Rhea Ripley"
8039,"Asuka, Becky Lynch, Kairi Sane, Lash Legend & Nia Jax"
8038,"Akira Tozawa & Otis"
8038,"Brutus Creed & Julius Creed"
8035,"Drew McIntyre & Logan Paul"
8035,"Jey Uso & Jimmy Uso"
8031,"Axiom & Nathan Frazer"
8031,"Johnny Gargano & Tommaso Ciampa"
8030,"Alex Shelley, Chris Sabin, Rey Fenix  , Sami Zayn & Shinsuke Nakamura"
8030,"JC Mateo, Solo Sikoa, Talla Tonga, Tama Tonga & Tonga Loa"
8024,"Dion Lennox & Osiris Griffin"
8024,"Je'Von Evans & Leon Slater"
8020,"Chelsea Green & Ethan Page"
8020,"Joe Hendry & Thea Hail"
8013,"Dominik Mysterio, Finn Balor & JD McDonagh"
8013,"John Cena, Rey Mysterio & Sheamus"
8008,"Aaron Rourke, Cappuccino Jones & Eli Knight"
8008,"Brad Baylor, Jackson Drake & Ricky Smokes"
8007,"Aaron Rourke, Cappuccino Jones, Marcus Mathers, Mike Cunningham & Sam Holloway"
8007,"Braxton Cole, Brooks Jensen, Kam Hendrix & Keanu Carver"
7996,"Alexa Bliss & Charlotte Flair"
7996,"Asuka & Kairi Sane"
7992,"Akira Tozawa & Otis"
7992,"Kofi Kingston & Xavier Woods"
7986,"Fallon Henley, Jacy Jayne & Lainey Reid"
7986,"Izzi Dame, Lola Vice & Tatum Paxley"
7983,"AJ Styles & Dragon Lee"
7983,"Finn Balor & JD McDonagh"
7981,"Bron Breakker & Bronson Reed"
7981,"CM Punk & Jey Uso"
7980,"Asuka & Kairi Sane"
7980,"Bayley & Lyra Valkyria"
7979,"Nikki Bella & Stephanie Vaquer"
7979,"Raquel Rodriguez & Roxanne Perez"
7971,"Alex Shelley & Chris Sabin"
7971,"JC Mateo & Tama Tonga"
7963,"Akira Tozawa & Otis"
7963,"Bronco Nima & Lucien Price"
7962,"Alexa Bliss & Charlotte Flair"
7962,"Bayley & Lyra Valkyria"
7958,"Brother Nero & Matt Hardy"
7958,"Dion Lennox & Osiris Griffin"
7957,"Je'Von Evans & Leon Slater"
7957,"La Parka     & Mr. Iguana"
7954,"Angel    & Berto"
7954,"Angelo Dawkins & Montez Ford"
7951,"JC Mateo & Tama Tonga"
7951,"Rey Fenix   & Shinsuke Nakamura"
7948,"Izzi Dame & Tatum Paxley"
7948,"Jacy Jayne & Lainey Reid"
7946,"AJ Styles & Dragon Lee"
7946,"Finn Balor & JD McDonagh"
7941,"Brad Baylor & Ricky Smokes"
7941,"Tate Wilder & Trill London"
7938,"Aaron Rourke & Marcus Mathers"
7938,"Cappuccino Jones & Mike Cunningham"
7935,"Bronco Nima & Lucien Price"
7935,"Harley Riggins & Jax Presley"
7931,"Alexa Bliss & Charlotte Flair"
7931,"Sol Ruca & Zaria"
7930,"Alex Shelley & Chris Sabin"
7930,"Angel    & Berto"
